mounth,failCount,failPause,failMax,lifeTime,activeLife,calls,tariffPrice,tariffSpeed,payments,paymentSum,sms,outflow
1,5,19440,16620,71020799,68169600,3,950,100,3,2287,6,0
1,16,64740,32100,94607999,85881600,1,500,50,4,1432,3,0
1,0,0,0,89337599,56073600,1,990,100,1,400,2,0
1,4,4380,3120,94607999,92275200,0,990,50,3,2970,3,0
1,3,4440,3180,94607999,93398400,0,1390,1000,2,2800,0,0
1,9,58352,45780,94607999,72835200,4,650,100,4,2600,2,0
1,3,4440,3180,94607999,88214400,0,990,50,2,1980,1,0
1,10,20160,12300,94607999,84738656,0,849,100,0,0,1,0
1,15,29126,14306,94607999,93830400,17,600,100,3,3019,4,0
1,27,61920,31800,84239999,56419200,4,1000,300,4,3513,1,0
1,8,29720,17940,240992021,236476800,1,650,100,4,2400,3,0
1,3,4440,3180,191662409,133752051,0,990,50,3,2970,4,0
1,4,3009,1689,244196021,244598400,1,900,8,4,3600,2,0
1,3,4440,3180,244200859,244248298,3,990,50,2,9000,3,0
1,5,19440,16620,244208590,234727043,0,990,50,3,2980,1,0
1,8,29720,17940,241333834,242485220,0,500,50,42,1863,1,0
1,8,29720,17940,240994848,242006400,0,500,50,3,1500,0,0
1,0,0,0,241075159,170899200,0,650,100,3,1950,6,0
1,4,4380,3120,236852110,227029638,1,990,50,5,2900,4,0
1,8,29720,17940,237291978,237741855,1,650,100,1,1300,2,0
1,13,73975,45900,237515369,237081600,0,650,100,3,1650,0,0
1,13,73975,45900,237516364,236649600,0,650,100,3,1950,5,0
1,13,73975,45900,237515421,236995200,2,650,100,3,1850,5,0
1,8,30494,18000,233716211,234093571,0,800,100,3,2400,3,0
1,8,30494,18000,233381562,232347335,1,650,100,4,1950,0,0
1,8,30494,18000,229065163,225936000,1,650,100,4,1950,2,0
1,8,30494,18000,233721760,92275200,1,500,50,1,500,1,0
1,8,30494,18000,233724659,234576000,0,650,100,1,1000,1,0
1,5,19440,16620,236225601,227845187,0,990,50,3,2970,6,0
1,11,26661,19281,232789794,223474216,0,1595,250,2,4845,5,0
1,5,19440,16620,234152575,216450984,0,990,50,3,2970,4,0
1,11,26661,19281,232782754,118477535,0,990,50,4,3960,2,0
1,11,26661,19281,230793849,232402257,0,990,50,3,2970,3,0
1,3,4440,3180,229585696,229012180,0,990,100,3,2970,3,0
1,16,44536,21840,227852164,189388800,0,650,100,3,1950,3,0
1,4,4380,3120,227767404,217469134,13,990,50,3,2970,1,0
1,3,4440,3180,222588783,192560874,1,990,50,3,2338,2,0
1,10,51517,28837,214467494,215753310,0,500,50,3,1500,8,0
1,5,19440,16620,221895679,152565599,1,990,50,3,2970,0,0
1,8,29720,17940,222243410,223948800,1,500,50,3,1500,0,0
1,5,4680,3180,221045684,219456000,0,900,8,2,1800,1,0
1,4,4440,3120,203832060,203558400,1,900,8,3,2700,3,0
1,11,27606,14466,219381810,221451250,2,650,100,3,1950,8,0
1,11,27606,14466,216442474,218419200,0,800,100,3,2368,2,0
1,9,19860,12240,217660479,202780800,0,500,50,1,1000,2,0
1,9,19860,12240,217563170,91756800,0,500,50,1,435,1,0
1,5,19440,16620,215688434,214497678,2,1100,100,3,3300,0,0
1,11,27606,14466,216444361,215568000,0,650,100,2,1300,3,0
1,11,27606,14466,214209883,121219200,1,500,50,4,1500,5,0
1,11,21120,12300,215761682,216086400,0,500,50,1,1000,1,0
1,4,4380,3120,213943251,210086445,1,990,50,3,2970,5,0
1,8,29720,17940,214915279,216259200,0,500,50,3,2500,3,0
1,9,32340,26580,213936501,203299200,1,500,50,3,1500,4,0
1,9,32340,26580,213935302,213235200,0,500,50,2,1000,1,0
1,9,32340,26580,213938406,215843439,2,650,100,2,1300,0,0
1,9,32340,26580,213938679,202660930,0,500,50,3,1500,2,0
1,9,32340,26580,213941325,201877177,4,600,25,3,1800,7,0
1,8,29720,17940,214216573,195350400,0,650,100,5,2000,3,0
1,5,19440,16620,212836868,212120402,0,990,50,3,2970,4,0
1,9,19860,12240,212824499,215368482,0,650,100,1,2481,1,0
1,11,42005,21900,195366429,195004800,1,800,100,3,2400,1,0
1,11,42005,21900,205738126,94694400,0,500,50,3,1500,0,0
1,5,19440,16620,211788777,207595693,0,990,50,3,2990,0,0
1,11,42005,21900,209982244,200275200,1,500,50,3,1500,6,0
1,11,42005,21900,210231670,210697641,0,800,100,5,2500,5,0
1,9,19860,12240,209979577,90288000,0,500,50,1,500,0,0
1,9,19860,12240,209974780,210239720,5,1000,200,3,3008,10,0
1,8,30443,21083,208580215,210384000,0,650,100,3,1950,0,0
1,9,58351,45780,148360986,147787330,0,650,100,3,1950,1,0
1,7,29820,25800,191217094,192326400,0,500,50,4,2000,1,0
1,9,58352,45780,149157878,150422400,4,650,100,3,1950,8,0
1,11,21120,12300,209182689,210902400,0,650,100,3,1950,1,0
1,11,21120,12300,208503320,210729600,4,650,100,3,1500,4,0
1,8,30443,21083,208511542,204297537,0,800,100,3,2600,3,0
1,8,30443,21083,208514805,181699200,2,1000,200,3,2930,3,0
1,7,22500,18060,204859059,204249600,0,990,100,3,2970,0,0
1,8,30443,21083,205748692,206466144,0,600,25,4,1800,3,0
1,11,21120,12300,206505536,99619200,0,800,100,3,1900,5,0
1,12,23106,11706,206501462,184204800,0,500,50,4,1450,9,0
1,8,30443,21083,204949684,198342507,0,650,100,3,1950,2,0
1,4,4380,3120,204684018,110505600,2,990,100,4,2896,1,0
1,11,42005,21900,204338846,94867200,0,500,50,3,1400,3,0
1,11,27606,14466,204343943,202867200,0,650,100,3,1950,7,0
1,11,26661,19281,203569516,196614258,0,1265,100,3,4000,0,0
1,9,19860,12240,200814949,203040000,0,500,50,3,1500,0,0
1,11,21120,12300,200559455,202867200,18,500,50,1,400,3,0
1,5,19440,16620,200113494,199632210,0,990,50,3,2970,2,0
1,5,19440,16620,200118888,196917947,0,1100,100,1,1000,1,1
1,12,63075,47595,189677246,173750400,0,650,100,3,1950,1,0
1,11,21120,12300,200374898,202694400,0,650,100,3,1950,5,0
1,4,4440,3120,198916896,198720000,1,900,8,3,2700,2,0
1,8,30180,25800,190280557,184550400,0,650,100,3,1850,0,0
1,13,22380,12360,197685003,173803386,0,650,100,3,1950,5,0
1,13,22380,12360,199351324,197158055,1,800,100,3,2194,4,0
1,13,22380,12360,197687984,194745600,0,650,100,3,1950,6,0
1,13,22380,12360,199263622,194832000,0,650,100,2,1300,3,0
1,5,19440,16620,199365988,198547200,2,1149,100,3,3447,5,0
1,8,31300,19358,190882633,192499200,0,650,100,3,1800,1,0
1,13,22380,12360,198587308,150508800,0,650,100,3,1850,3,0
1,3,4440,3180,182168584,142128000,2,1100,100,5,5955,6,0
1,9,58353,45780,188208406,188648071,5,600,25,3,1800,6,0
1,13,73975,45900,189917973,152142860,0,500,50,3,1500,3,0
1,13,73975,45900,188646353,189734400,0,650,100,3,1950,2,0
1,5,19440,16620,196920039,145316482,0,990,50,3,2970,3,0
1,5,19440,16620,194945940,194997679,4,990,50,3,2964,1,0
1,3,4440,3180,193901102,193511155,0,990,50,3,3000,1,0
1,5,19440,16620,194262499,192077845,2,990,50,3,2970,3,0
1,8,30180,25800,190282390,192326400,1,650,100,2,1100,1,0
1,5,19440,16620,190876101,190944000,0,990,100,4,6000,2,0
1,11,27606,14466,193307117,194932993,0,800,100,2,2000,3,0
1,7,29760,25800,98535414,100137600,0,650,100,3,1650,0,0
1,11,21120,12300,193737835,153488548,4,800,100,2,1600,5,0
1,3,4440,3180,192626550,192644983,8,990,50,4,3990,2,0
