iter	Passed	Remaining
0	6	33572
1	12	30009
2	17	29081
3	23	29167
4	28	28881
5	34	28376
6	39	28361
7	45	28220
8	50	27787
9	56	28147
10	62	28290
11	68	28327
12	73	28320
13	78	28068
14	84	28114
15	90	28046
16	96	28253
17	102	28321
18	108	28366
19	114	28421
20	120	28573
21	126	28611
22	132	28702
23	138	28666
24	143	28623
25	150	28733
26	156	28760
27	161	28692
28	168	28816
29	174	28839
30	179	28831
31	186	28951
32	191	28845
33	196	28753
34	202	28684
35	207	28548
36	212	28462
37	217	28417
38	223	28379
39	227	28265
40	234	28303
41	239	28264
42	244	28157
43	250	28180
44	256	28192
45	260	28084
46	266	28112
47	274	28281
48	281	28467
49	289	28667
50	296	28810
51	304	28956
52	310	28975
53	315	28943
54	321	28871
55	326	28847
56	332	28837
57	338	28806
58	343	28728
59	348	28666
60	353	28646
61	360	28741
62	366	28709
63	371	28667
64	377	28647
65	382	28579
66	387	28535
67	392	28472
68	397	28427
69	403	28428
70	408	28367
71	413	28325
72	419	28305
73	424	28272
74	429	28215
75	434	28129
76	439	28070
77	444	28076
78	449	28009
79	454	27923
80	459	27907
81	464	27885
82	470	27878
83	476	27902
84	482	27895
85	487	27874
86	493	27867
87	497	27794
88	502	27711
89	506	27650
90	511	27576
91	515	27509
92	520	27474
93	525	27424
94	530	27386
95	535	27352
96	540	27335
97	546	27326
98	551	27319
99	557	27317
100	562	27291
101	568	27284
102	573	27269
103	578	27223
104	583	27198
105	589	27194
106	594	27191
107	599	27164
108	605	27169
109	615	27383
110	782	34454
111	791	34530
112	797	34503
113	805	34509
114	823	34971
115	843	35504
116	860	35905
117	869	35954
118	882	36200
119	901	36657
120	909	36678
121	918	36725
122	925	36694
123	935	36785
124	941	36699
125	946	36609
126	952	36541
127	958	36467
128	963	36398
129	969	36312
130	975	36245
131	981	36201
132	987	36138
133	993	36060
134	998	35999
135	1005	35945
136	1011	35894
137	1017	35831
138	1023	35782
139	1029	35752
140	1036	35705
141	1042	35650
142	1049	35630
143	1055	35609
144	1063	35599
145	1071	35607
146	1079	35622
147	1085	35574
148	1092	35557
149	1098	35526
150	1105	35507
151	1111	35443
152	1117	35396
153	1123	35354
154	1128	35278
155	1134	35226
156	1140	35167
157	1145	35115
158	1151	35058
159	1157	35018
160	1162	34935
161	1167	34880
162	1173	34813
163	1178	34742
164	1183	34686
165	1188	34617
166	1193	34549
167	1199	34513
168	1205	34468
169	1211	34427
170	1217	34380
171	1222	34304
172	1227	34241
173	1232	34188
174	1237	34131
175	1243	34075
176	1249	34042
177	1255	34003
178	1260	33951
179	1265	33881
180	1270	33827
