iter	AUC	Logloss
0	0.7524389475	0.6841319943
1	0.7783410619	0.6746035546
2	0.7881644145	0.6648529855
3	0.7822987507	0.6559568018
4	0.7942495195	0.6494911261
5	0.7978585067	0.6403325692
6	0.7977994945	0.6321137365
7	0.7988339432	0.6234440936
8	0.7958824759	0.6169530837
9	0.7960356609	0.6093306199
10	0.7949991751	0.6020591986
11	0.7949810787	0.595019716
12	0.7951005281	0.5881430716
13	0.7979525151	0.5827604512
14	0.7984945593	0.5773185751
15	0.7980406406	0.5719435694
16	0.8009336804	0.567336272
17	0.8020722499	0.5611351352
18	0.8074285364	0.5567834784
19	0.8070529504	0.550935258
20	0.8073954859	0.5468936378
21	0.8080522932	0.5413288881
22	0.8083789612	0.5372099869
23	0.8096638005	0.5329770663
24	0.8093084577	0.5286357534
25	0.8094279711	0.5228390267
26	0.8093658073	0.5191875882
27	0.8117857358	0.5153697337
28	0.8118203574	0.511486404
29	0.8115263106	0.5080681118
30	0.8120847429	0.5047147296
31	0.8122544623	0.5017311107
32	0.8136549692	0.498891107
33	0.8140065666	0.4952195798
34	0.814307346	0.4920852747
35	0.814259305	0.4893619498
36	0.8138834084	0.4858507735
37	0.8141092076	0.4836894644
38	0.8143733099	0.4797440881
39	0.8156954201	0.4760694455
40	0.8157461559	0.473015141
41	0.815944815	0.4703852062
42	0.8160763501	0.4676447442
43	0.8172985506	0.4653587469
44	0.8173264946	0.4620766404
45	0.8172522361	0.4597365459
46	0.8172703234	0.4559327979
47	0.8183500909	0.4538367752
48	0.8194787946	0.4520174425
49	0.8199623564	0.4497826795
50	0.8199957815	0.4466709958
51	0.8200888124	0.4444295004
52	0.8195035231	0.4419404578
53	0.8196503045	0.4401257525
54	0.8199945939	0.4381451671
55	0.8199732636	0.4364787698
56	0.820219708	0.4348812061
57	0.8209514681	0.4331042583
58	0.8213637585	0.4312717478
59	0.821852171	0.4295826323
60	0.82232214	0.4283043184
61	0.822741236	0.4267987481
62	0.8234010213	0.4250884178
63	0.8236382393	0.4234487989
64	0.8236745053	0.4219809751
65	0.8235439843	0.4193650451
66	0.8233674136	0.4181072234
67	0.8238206655	0.4166586749
68	0.8241328362	0.4156202176
69	0.8246138859	0.4141850274
70	0.8247654632	0.4127910246
71	0.825028451	0.4115539062
72	0.8249869324	0.4104145146
73	0.8250093497	0.4092672842
74	0.8252633761	0.4083476185
75	0.8260265058	0.4071260649
76	0.8268755046	0.4058392223
77	0.8270857743	0.4045861697
78	0.8273732531	0.403356263
79	0.8274440768	0.4021672886
80	0.827376633	0.4011164863
81	0.8277814145	0.399940665
82	0.8279307263	0.3989177583
83	0.8286057853	0.3978478369
84	0.828973634	0.3965961641
85	0.8295324409	0.3955781158
86	0.8300569732	0.3947292195
87	0.8303759952	0.3938510617
88	0.8306869145	0.3923682417
89	0.8305532967	0.3914350438
90	0.8304761606	0.3905913058
91	0.8309579229	0.3897760956
92	0.8314232055	0.3888738968
93	0.8318562233	0.38794833
94	0.831969333	0.3869040982
95	0.8319556305	0.3860647539
96	0.8321477124	0.3852685717
97	0.8323358023	0.3844860204
98	0.832700207	0.3836856748
99	0.8329261889	0.3829952948
100	0.8329984286	0.3822480209
101	0.8332649608	0.3815082574
102	0.8331869935	0.3808135201
103	0.8334575908	0.379937675
104	0.8335169318	0.3792336183
105	0.8338569918	0.3786480048
106	0.8343305873	0.37811994
107	0.8340257154	0.3773770978
108	0.8342420873	0.3767136444
109	0.8341154578	0.3761863379
110	0.8343820357	0.3753631661
111	0.8349221523	0.3742027493
112	0.8348837122	0.3729195535
113	0.8350619728	0.3724264
114	0.8352051002	0.3718612744
115	0.835509424	0.3712866566
116	0.8357402291	0.3708096916
117	0.8357422937	0.3702653214
118	0.8360424701	0.3697871658
119	0.8362135323	0.3690400722
120	0.8362979764	0.3684693971
121	0.8362973369	0.367904869
122	0.836731926	0.3669880082
123	0.836980517	0.3660325741
124	0.8370039301	0.3655010866
125	0.8370307139	0.3651955198
126	0.8371200817	0.3647566678
127	0.837071246	0.3636888705
128	0.8373565506	0.36318408
129	0.8376530274	0.3628517371
130	0.8378933513	0.3624000487
131	0.8381355204	0.3619696245
132	0.8384832172	0.3610146941
133	0.8387010599	0.36053749
134	0.8389716206	0.3601663569
135	0.8391093766	0.3596385119
136	0.8393602788	0.359351734
137	0.8394581331	0.3589799513
138	0.8396228556	0.3586043869
139	0.8398642939	0.3578289642
140	0.8401457802	0.3570913902
141	0.8401115421	0.3567189178
142	0.8402733963	0.3563020378
143	0.8405830275	0.3560523801
144	0.8405042837	0.3557660116
145	0.8407321839	0.3549759504
146	0.8408344413	0.3545368923
147	0.8410642051	0.3542607852
148	0.841157437	0.3539369062
149	0.8413624632	0.3535978085
150	0.8414852377	0.3533265351
151	0.8415414729	0.352885476
152	0.8417530854	0.3525834259
153	0.8418185286	0.3522809177
154	0.8418399776	0.3518900651
155	0.8419402618	0.3515799715
