iter	Passed	Remaining
0	8	40983
1	18	45237
2	24	41519
3	32	40109
4	40	40459
5	47	39429
6	56	40114
7	62	39040
8	68	38211
9	75	37546
10	81	36764
11	86	35853
12	93	35812
13	99	35463
14	105	35163
15	112	34905
16	118	34837
17	126	34915
18	133	35099
19	141	35347
20	147	34876
21	152	34507
22	158	34197
23	163	33947
24	169	33776
25	177	33864
26	182	33542
27	187	33276
28	193	33151
29	200	33210
30	206	33157
31	212	33000
32	218	32932
33	229	33565
34	240	34122
35	247	34066
36	253	33991
37	261	34207
38	268	34195
39	277	34456
40	284	34372
41	293	34666
42	300	34698
43	307	34664
44	315	34706
45	324	34997
46	332	35006
47	338	34914
48	346	35002
49	352	34876
50	361	35038
51	367	34965
52	374	34969
53	380	34807
54	385	34640
55	389	34429
56	394	34208
57	399	34030
58	405	33945
59	412	33930
60	417	33794
61	423	33707
62	429	33661
63	435	33618
64	441	33551
65	451	33732
66	460	33923
67	470	34097
68	481	34441
69	491	34623
70	499	34709
71	510	34908
72	520	35145
73	532	35434
74	541	35538
75	550	35650
76	558	35685
77	567	35791
78	579	36102
79	589	36279
80	599	36430
81	609	36572
82	617	36567
83	631	36947
84	638	36941
85	648	37037
86	658	37189
87	669	37354
88	680	37542
89	691	37750
90	703	37923
91	710	37907
92	725	38298
93	736	38461
94	748	38641
95	757	38681
96	772	39038
97	788	39456
98	802	39739
99	816	39998
100	832	40362
101	843	40512
102	852	40523
103	865	40732
104	877	40921
105	887	40978
106	898	41080
107	913	41366
108	920	41322
109	932	41453
110	944	41593
111	953	41632
112	965	41763
113	973	41711
114	983	41787
115	994	41862
116	1006	41999
117	1014	41976
118	1041	42726
119	1054	42863
120	1064	42943
121	1075	43004
122	1088	43162
123	1098	43176
124	1111	43348
125	1125	43553
126	1134	43518
127	1143	43524
128	1153	43540
129	1161	43495
130	1174	43636
131	1186	43769
132	1194	43699
133	1207	43835
134	1221	44029
135	1236	44211
136	1244	44168
137	1258	44331
138	1268	44375
139	1278	44382
140	1289	44448
141	1300	44507
142	1310	44509
143	1320	44537
144	1327	44433
145	1337	44455
146	1344	44375
147	1353	44358
148	1361	44337
149	1370	44298
150	1379	44309
151	1392	44421
152	1400	44356
153	1410	44387
154	1417	44314
155	1428	44342
156	1437	44354
157	1449	44418
158	1456	44330
159	1468	44417
160	1477	44395
161	1487	44414
162	1497	44425
163	1506	44416
164	1517	44455
165	1529	44543
166	1537	44485
167	1547	44519
168	1560	44617
169	1569	44579
170	1582	44690
171	1593	44721
172	1600	44664
173	1615	44798
174	1629	44918
175	1636	44846
176	1647	44899
177	1657	44901
178	1666	44879
179	1677	44908
180	1690	45003
181	1697	44939
182	1705	44882
183	1715	44897
184	1727	44974
185	1736	44939
186	1745	44936
187	1757	44977
188	1765	44930
189	1774	44922
190	1779	44815
191	1786	44742
192	1793	44671
193	1799	44590
194	1806	44516
195	1811	44407
196	1819	44359
197	1825	44263
198	1831	44181
199	1836	44080
200	1842	44000
201	1849	43931
202	1855	43853
203	1862	43784
204	1868	43704
205	1873	43605
206	1879	43525
207	1885	43447
208	1891	43358
209	1898	43312
210	1904	43217
211	1909	43124
212	1916	43073
213	1921	42980
214	1927	42900
215	1932	42800
216	1937	42700
217	1942	42621
218	1947	42523
219	1952	42416
220	1957	42321
221	1963	42252
222	1968	42176
223	1973	42069
224	1979	42014
225	1985	41944
226	1991	41875
227	1996	41782
228	2001	41698
229	2007	41637
230	2012	41555
231	2017	41456
232	2023	41409
233	2029	41336
234	2035	41268
235	2040	41200
236	2046	41125
237	2052	41060
238	2058	41008
239	2064	40954
240	2070	40884
241	2076	40834
242	2082	40767
243	2088	40717
244	2093	40637
245	2098	40551
246	2103	40478
247	2109	40422
248	2114	40337
249	2119	40265
250	2123	40185
251	2128	40101
252	2132	40018
253	2138	39962
254	2143	39882
255	2147	39794
256	2153	39748
257	2158	39674
258	2163	39599
259	2169	39552
260	2175	39495
261	2181	39445
262	2188	39421
263	2193	39353
264	2198	39277
265	2206	39274
266	2212	39227
267	2221	39225
268	2227	39173
269	2235	39156
270	2241	39120
271	2249	39098
272	2254	39039
273	2259	38980
274	2266	38946
275	2273	38906
276	2277	38839
277	2284	38807
278	2289	38746
279	2294	38679
280	2300	38631
281	2305	38565
282	2309	38496
283	2316	38461
284	2320	38393
285	2325	38327
286	2331	38281
287	2335	38216
288	2340	38148
289	2347	38119
290	2351	38053
291	2356	37994
292	2363	37968
293	2369	37921
294	2374	37878
295	2383	37871
296	2389	37836
297	2395	37803
298	2404	37809
299	2417	37869
300	2424	37845
301	2434	37874
302	2442	37855
303	2450	37856
304	2459	37861
305	2468	37873
306	2479	37903
307	2488	37905
308	2501	37974
309	2510	37978
310	2520	37998
311	2529	38005
312	2537	38000
313	2545	37984
314	2552	37956
315	2561	37973
316	2572	37999
317	2581	38004
318	2591	38030
319	2598	38004
320	2610	38050
321	2618	38037
322	2628	38063
323	2635	38042
324	2644	38042
325	2651	38018
326	2658	37992
327	2665	37968
328	2673	37951
329	2681	37947
330	2690	37944
331	2695	37903
332	2705	37911
333	2716	37955
334	2725	37948
335	2731	37918
336	2744	37978
337	2752	37970
338	2760	37954
339	2769	37955
340	2775	37920
341	2783	37909
342	2789	37877
343	2795	37839
344	2803	37830
345	2812	37824
346	2822	37845
347	2831	37855
348	2839	37835
349	2844	37792
350	2851	37769
351	2860	37773
352	2868	37765
353	2873	37713
354	2881	37702
355	2886	37659
356	2892	37613
357	2899	37591
358	2904	37552
359	2910	37508
360	2916	37484
361	2923	37461
362	2931	37447
363	2936	37394
364	2940	37346
365	2947	37321
366	2954	37294
367	2963	37296
368	2969	37269
369	2978	37276
370	2984	37236
371	2989	37189
372	2995	37157
373	3001	37120
374	3006	37076
375	3013	37060
376	3019	37032
377	3027	37013
378	3032	36978
379	3038	36942
380	3046	36933
381	3052	36896
382	3059	36879
383	3064	36832
384	3068	36785
385	3075	36759
386	3079	36710
387	3084	36661
388	3090	36634
389	3095	36593
390	3101	36557
391	3107	36532
392	3113	36495
393	3118	36456
394	3123	36414
395	3127	36364
396	3132	36315
397	3138	36290
398	3143	36243
399	3147	36195
400	3154	36180
401	3159	36136
402	3164	36094
403	3170	36064
404	3175	36029
405	3179	35978
406	3185	35953
407	3191	35915
408	3195	35873
409	3202	35849
410	3207	35815
411	3213	35782
412	3219	35756
413	3227	35748
414	3232	35718
415	3239	35699
416	3246	35676
417	3254	35671
418	3258	35628
419	3266	35617
420	3271	35580
421	3277	35556
422	3284	35537
423	3289	35503
424	3297	35493
425	3302	35461
426	3308	35436
427	3314	35408
428	3319	35369
429	3325	35340
430	3330	35310
431	3337	35289
432	3342	35259
433	3349	35242
434	3356	35220
435	3361	35191
436	3367	35157
437	3371	35118
438	3376	35084
439	3381	35041
440	3386	35013
441	3391	34974
442	3397	34944
443	3404	34931
444	3409	34901
445	3414	34867
446	3421	34847
447	3426	34814
448	3434	34810
449	3443	34814
450	3448	34785
451	3453	34749
452	3459	34723
453	3464	34689
454	3469	34654
455	3475	34628
456	3479	34592
457	3485	34564
458	3490	34535
459	3496	34510
460	3501	34476
461	3507	34452
462	3512	34419
463	3516	34378
464	3521	34347
465	3526	34313
466	3532	34284
467	3537	34254
468	3541	34215
469	3547	34187
470	3552	34155
471	3556	34122
472	3562	34093
473	3566	34057
474	3572	34029
475	3578	34008
476	3583	33976
477	3589	33953
478	3594	33929
479	3600	33908
480	3605	33874
