Месяц,Всего аварий,Аварии простой,Аварии макс,Время жизни,Время активности,Звонков,Отбитые звонки,Неотвеченные,Цена тарифа,Скорость тарифа,Доп услуги,Смотрешка,Пол,Платежей,Тип платежа,Сумма платежей,Сервисная заявка,Отток
4,2,120,120,239948737,126403200,1,0,0,500,50,1,0,1,2,6,900,0,0
4,1,240,240,246538152,233625600,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,2,6534,6354,239101242,168652800,1,0,0,400,5,1,0,1,2,6,600,0,0
4,3,6595,6415,229077721,138844800,0,0,0,500,20,1,0,1,1,3,500,0,0
4,1,1980,1980,214057272,118540800,0,0,0,500,20,1,0,1,0,0,0,0,0
4,2,6534,6354,216465772,216240468,0,0,0,700,25,0,0,1,2,6,1200,0,0
4,2,120,120,199193920,81734400,0,0,0,500,50,1,0,1,2,6,1200,0,0
4,2,6534,6354,194687389,194796444,6,3,0,700,25,1,0,1,2,6,1550,1,0
4,0,0,0,191064962,181440000,0,0,0,700,5,0,0,1,0,0,0,0,0
4,2,6534,6354,196249220,190776480,0,0,0,700,25,0,0,1,3,6,1750,0,0
4,2,6534,6354,196416249,84748241,7,0,0,800,50,0,0,1,3,6,1700,2,0
4,2,6534,6354,195902153,197608460,1,0,0,800,50,0,0,1,2,4,1400,1,0
4,2,6534,6354,196252949,186364800,0,0,0,800,50,0,0,1,2,6,1600,0,0
4,2,6534,6354,196237933,191808000,1,0,0,800,50,1,0,1,2,6,1400,1,0
4,1,180,180,193405556,193248981,1,0,0,700,25,0,0,1,2,6,1199,0,0
4,2,6534,6354,192618530,121305600,0,0,0,800,50,0,0,1,0,0,0,0,0
4,3,6540,6420,192187249,194400000,1,0,0,500,20,1,0,1,2,6,800,0,0
4,9,62580,46273,191570463,191808000,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,2,6534,6354,28966622,29030400,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,190205670,192074004,5,1,1,700,25,0,0,1,3,6,1800,1,0
4,2,6534,6354,188982853,163965802,0,0,0,800,50,0,0,1,2,6,1680,0,0
4,2,6534,6354,188989955,184204800,0,0,0,700,25,0,0,1,2,6,1100,0,0
4,3,71580,43068,187773864,189388800,0,0,0,650,40,1,0,1,2,6,1500,0,0
4,2,6534,6354,187162353,189022802,0,0,0,700,25,0,0,1,2,6,1200,0,0
4,1,60,60,186752270,152841600,5,1,0,500,20,0,0,1,2,6,800,1,0
4,2,240,240,186754578,163555200,1,0,0,500,50,0,0,1,2,6,850,0,0
4,0,0,0,183558472,163209600,0,0,0,700,5,0,0,1,0,0,0,0,0
4,2,6534,6354,180788583,31363200,2,0,0,800,50,0,0,1,3,6,1500,1,0
4,2,300,300,180188362,113184000,0,0,0,650,100,0,0,1,0,0,0,0,0
4,1,120,120,179570555,176169600,0,0,0,500,20,1,0,1,2,6,1400,0,0
4,2,6534,6354,178188957,175059351,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,1,1980,1980,170805831,155088000,0,0,0,500,20,0,0,1,0,0,0,0,0
4,2,6534,6354,175586813,175401343,0,0,0,700,25,0,0,1,2,6,1200,0,0
4,2,6534,6354,176464382,173926324,1,0,0,800,50,0,0,1,1,3,1300,0,0
4,1,240,240,176386638,173577600,1,0,0,500,20,1,0,1,1,3,600,0,0
4,2,6594,6354,174744651,18316800,0,0,0,650,100,1,0,1,2,6,1100,0,0
4,4,108960,68566,173519032,160185600,1,0,0,700,5,0,0,1,2,6,1400,0,0
4,2,6534,6354,171693734,154207440,0,0,0,800,50,0,0,1,3,6,1996,0,0
4,2,6534,6354,171525403,141082558,1,0,0,700,25,0,0,1,2,6,1200,0,0
4,1,60,60,170502230,65836800,0,0,0,500,20,1,0,1,2,6,1500,0,0
4,2,120,120,170336769,170899200,0,0,0,700,5,0,0,1,1,3,600,0,0
4,1,1920,1920,167902167,152582400,0,0,0,500,20,1,0,1,0,0,0,0,0
4,2,6534,6354,170324845,121012703,1,0,0,700,25,0,0,1,0,0,0,0,0
4,1,5086,5086,167830668,163209600,6,1,3,650,40,1,0,1,2,3,1500,2,0
4,2,6534,6354,140856304,107740800,2,0,0,800,50,0,0,1,2,6,1200,1,0
4,2,6534,6354,166258304,166575289,0,0,0,700,25,0,0,1,2,4,1200,0,0
4,2,6534,6354,164445062,163289733,0,0,0,700,25,0,0,1,2,6,1150,0,0
4,2,6534,6354,164195636,84067200,4,1,1,800,50,0,0,1,2,6,1650,0,0
4,2,6534,6354,163669916,165028920,1,0,1,700,25,0,0,1,2,6,1200,0,0
4,2,6534,6354,163669194,164261126,0,0,0,700,25,0,0,1,2,6,750,0,0
4,1,240,240,162555979,157852800,0,0,0,700,5,0,0,1,0,0,0,0,0
