failCount_month,lifeTime_month,activeLife_month
4,78046562,75320953
4,154160021,149644800
0,157364021,157766400
0,157368859,157766400
1,157376590,152668800
4,154501834,155480420
4,154162848,155174400
4,154766084,150076800
0,154243159,86745600
1,150020110,141782400
4,150459978,152668800
2,150683369,149990400
2,150684656,149558400
2,150684364,149817600
2,150683421,149990400
0,147593673,142214400
0,149994976,126057600
5,146884211,147312000
5,146567647,65836800
5,146549562,145256135
5,142233163,144115200
5,146892659,147484800
0,149393601,142214400
1,145957794,141097038
0,147320575,131587200
1,143961849,145311057
2,142753696,144547200
4,141020164,105148800
0,141030828,139449600
1,140935404,134006400
0,138512493,139324520
1,135756783,120960000
4,127635494,129168000
0,135761228,128822400
0,135063679,92275200
1,134457946,63544003
4,135411410,136857600
1,134213684,133920000
0,117000060,118454400
4,132549810,134265600
4,129610474,131500800
3,130828479,118368000
3,130731170,52185600
0,128856434,128995200
3,130817140,131673600
2,128591906,124156800
4,129612361,131328000
4,127377883,34128000
4,128929682,128995200
0,128599162,126403200
1,127111251,125255697
4,128083279,129168000
1,127104501,118627200
3,127640597,87177600
1,127103302,126144000
1,127106406,128752209
1,127106679,115569730
1,127109325,114785977
4,127384573,121564800
0,126004868,126230400
4,125991336,115776000
3,125992499,126230400
3,108534429,107913600
3,118906126,44409600
0,124956777,126316800
3,123150244,113184000
3,123399670,123984000
3,123411282,100310400
3,123147577,37238400
3,123142780,123148520
0,121748215,123552000
2,61528986,63331200
0,104385094,105235200
2,62325878,63331200
4,122350689,123811200
4,121671320,123897600
1,50219718,39594359
0,121679542,119884737
0,121682805,97200000
0,118027059,118540800
0,118916692,118942944
4,119673536,62726400
4,119669462,105148800
1,118629930,115603200
0,118117684,111251307
0,117852018,94780800
4,117511943,118540800
1,116737516,109523058
3,113982949,115948800
4,113727455,115948800
0,113281494,113184000
1,113286888,113356800
4,102845246,86659200
4,113542898,115862400
0,112084896,113356800
1,103448557,100137600
3,110853003,86400000
3,112519324,110592000
3,110855984,110332800
3,112431622,110505600
1,112533988,113184000
2,104050633,105408000
3,111755308,105321600
0,95336584,94953600
2,73044979,73699200
1,101376406,101556871
2,103085973,74469260
2,101814353,102643200
1,110088039,60480000
2,104396168,104886282
0,108117257,73785600
2,102842576,102729600
0,108113940,110505600
0,107069102,108000000
0,107430499,105408000
1,103450390,105321600
2,104044101,105235200
4,106475117,107841793
1,11703414,13046400
4,106905835,105235200
0,105794550,108000000
4,105268893,105062400
0,105437758,105408000
2,99570675,81302400
4,105607948,107913600
0,9630695,10540800
0,104407117,89596800
3,90481255,92275200
0,102836559,91929600
0,103795847,105408000
1,101377748,102643200
0,99818773,102211200
0,103437193,94780800
2,101806140,102556800
0,102764567,104889600
4,102761329,93785643
0,102747075,26611200
3,94782364,26611200
1,101620842,102729600
0,99825945,78883200
4,100774292,97459200
0,100762082,102643200
0,99563667,100137600
5,98964028,89164800
1,98013247,100169708
2,99807882,102211200
3,94723892,97027200
3,94792846,95040000
2,98596784,99964800
4,98353845,15552000
1,98008735,99423049
4,97147083,76723200
0,97139331,87350400
0,95934828,97632000
3,94364379,94867200
3,95933865,60566400
3,94368373,84067200
1,34409198,36806400
2,93157668,63590400
2,89893247,15811200
3,93507948,65836800
4,93769438,68515200
3,93504139,93894248
2,93520696,49939200
4,93515522,68601600
3,93160872,94780800
0,92914822,92188800
3,92898231,84326400
3,93178304,71366400
0,92575522,84352668
1,92569276,93730597
3,91104386,89337600
2,90492254,68688000
3,90142222,89683200
2,89889288,86918400
2,90753935,92275200
3,90749632,89972590
3,90063432,86918400
4,90150867,76204800
1,89883868,89683200
0,67576640,36633600
2,89543875,81820800
3,71832595,73682062
2,89273043,79056000
4,89266935,89683200
2,89278425,89683200
5,86866491,50198400
2,88073602,84326400
0,87125272,89510400
2,86861364,86918400
4,86442527,47066629
0,85909478,81475200
0,85290283,81993600
3,84691635,13219200
0,85045512,87004800
1,85300177,82067976
0,84704114,87004800
2,85057274,85693666
2,84708330,76464000
0,84696624,84499200
4,82726530,63244800
4,82884663,84412800
2,81665838,63331200
1,82720715,78677474
2,82116220,82250282
3,82110143,18754321
0,81493234,81475200
2,73635837,70045552
3,78484040,76291200
4,79082068,79143142
1,80463767,81506211
2,10396657,10454400
1,79262637,81475200
3,79251673,79142400
1,79101597,81475200
4,78648081,79056000
0,78057573,79056000
3,77268856,79142400
1,76829659,76550400
1,76665736,78969600
2,75630818,76377600
2,75629808,73267200
0,75610142,57974400
2,59119026,60566400
3,73294149,73785600
3,75025417,74727074
3,73303307,73447182
1,73648295,76032000
0,73642823,73666016
3,73219308,73699200
0,73283845,73699200
0,73203863,42163200
2,73214289,73785600
1,73198704,73785600
3,73294195,73699200
0,61111136,61395902
0,71729823,73699200
4,71727475,68688000
1,70190215,71020800
3,69587884,70663945
2,62161554,63331200
5,65941292,55123200
0,66996947,68428800
1,68206255,70607124
2,67603156,68617219
1,67599618,60652800
4,65336106,55555200
3,64574106,36892800
2,64739815,66009600
1,62935504,63331200
3,64136076,65736811
4,64125475,55383813
5,21272946,13305600
3,62145832,63244800
0,60946784,63244800
0,58856988,60739200
4,58850522,58060800
3,58086607,59401095
3,57555277,58060800
4,56951015,58060800
0,55751105,56516413
0,56788576,55382400
2,56700835,58060800
1,42277125,44582400
3,55589984,42076800
2,55578117,55468800
1,55727999,55641600
0,54383462,44841600
3,54381487,49939200
3,52546608,44841600
3,53170219,55382400
0,53163679,52876800
3,49786135,34214400
3,53159491,44928000
1,52047950,52531200
3,52050188,52704000
4,51936001,52790400
4,49616044,50025600
0,50307128,52704000
3,41061184,42163200
3,50237133,52617600
4,50140412,36806400
1,49791903,50112000
1,48307340,47260800
1,47883336,50025600
0,47722157,47347200
3,47381302,47260800
3,47117582,47520000
5,45456077,36979200
3,46176553,47520000
2,45466056,44755200
0,44099179,36806400
0,42288176,39484800
0,42265105,39484800
1,40648999,36979200
0,41680909,31708800
1,40447899,42163552
1,40702704,42163200
4,40642183,42163200
1,40459347,34473600
5,38639916,39571200
2,40123928,39571200
2,40127790,42249600
3,39525526,41990400
0,38648732,23673600
5,39520564,41904000
0,38655871,31536000
3,38038187,39494669
0,37618298,39571200
2,37106592,29030400
1,37095363,39484800
4,37086642,31536000
0,36408604,36806400
4,32505436,31708800
4,35635906,37090246
5,35183646,31536000
1,35190835,36806400
0,34338914,36806400
5,33907180,34300800
2,33293654,31622400
1,33039866,34148281
0,33026833,34300800
0,32852309,23673600
3,32602517,34300800
3,31923958,31708999
3,31665327,31536000
2,31661106,31708800
4,30353487,31622400
5,26972880,29030400
1,30274414,31622400
0,31577757,31508106
2,30108736,31622400
0,30963927,26265600
5,7872229,7862400
5,30949078,31622400
3,30363668,31622400
4,30360234,31622400
1,30348665,31719064
0,29746790,31622400
2,29807999,29808000
1,29243259,28944000
1,29239788,28944000
1,22237265,23760000
1,28968121,28771200
1,28972302,31449600
2,27759805,27889541
5,28029421,29030400
1,27766515,29030400
5,28012804,28944000
0,27771491,29030400
1,24230891,26352000
4,27258486,28724239
4,27254269,26352000
2,26632683,21340800
1,26051542,26352000
1,26017437,26265600
0,26023873,26265600
1,23367378,23760000
4,26398230,23673600
0,25602449,26352000
1,24225616,26352000
2,23343077,23673600
1,22844151,23760000
1,23351224,23760000
0,23019356,23760000
5,21959205,23760000
5,21632520,21081600
3,21641381,21081600
1,22224172,23760000
0,22059655,23760000
5,21026331,23500800
0,21036131,21081600
5,21032732,23328000
2,20777357,20995200
0,20418475,21081600
5,19908356,13226772
1,19213509,18662400
3,19223431,21081600
1,18342090,20736000
5,16790045,15724800
3,17903764,18403200
0,17912706,18316800
0,17395043,13046400
5,16969397,18403200
1,15766248,18144000
5,15757203,15638400
3,14121118,16070400
3,14118179,10713600
0,12994621,13132800
0,12983198,13132800
1,11254408,13046400
3,13002050,13046400
4,12551617,13046400
4,12048976,13046400
0,7092980,7776000
0,12042765,13132800
4,11694582,13132800
1,11687741,13132800
5,11009718,13046400
0,10481197,10991246
0,10828329,13132800
0,10477205,12960000
3,10487968,5270400
3,10403513,10454400
2,10300451,10454400
0,10390459,10454400
4,10322417,10454400
3,10309113,5356800
1,6145539,7776000
2,9287187,7776000
3,9021977,10454400
1,9694316,10540800
1,8935444,10454400
1,7373227,7776000
2,7380982,7776000
1,6775238,7776000
3,5997872,7776000
0,4959871,2419200
1,2630880,2678400
4,4947138,5097600
1,4618863,5097600
5,2959216,5097600
2,1330481,2678400
2,2678399,2678400
5,3228464,5097600
3,3218682,5097600
2,2513113,2678400
4,3212715,5097600
1,3235868,5097600
1,2871828,5097600
2,1763241,2764800
2,2351057,2678400
2,1739513,2678400
2,1309626,2678400
0,2616023,2678400
2,2265754,2678400
2,1339417,2678400
2,2369498,2678400
1,2275076,2678400
1,2280903,2678400
1,1321986,2678400
2,1639792,2764800
0,1313496,2678400
2,1160323,2678400
2,815968,2678400
2,1058319,2678400
1,807706,2678400
0,798822,2678400
4,1155294,2678400
4,1137358,2764800
3,7775999,7776000
0,548689,2678400
3,303793401,198685690
2,307350639,266457600
4,258209112,256439916
2,258361861,85260372
2,258281143,141156315
2,257845338,249105020
2,256642787,257390669
2,303048744,208017816
3,253440926,244867487
